Date,EURUSD,GLD,IEF,SPY,UNG,USDJPY,USO
2019-03-25,1.129586100578308,124.91999816894533,90.7881851196289,252.055419921875,97.55999755859376,110.08100128173828,98.0
2019-03-26,1.131580114364624,124.3000030517578,90.71154022216795,253.93429565429688,96.72000122070312,110.06800079345705,99.76000213623048
2019-03-27,1.127484679222107,123.6500015258789,90.97555541992188,252.6065216064453,95.87999725341795,110.5540008544922,98.72000122070312
2019-03-28,1.1251758337020874,121.9000015258789,90.98409271240234,253.5640411376953,95.63999938964844,110.48999786376952,98.8000030517578
2019-03-29,1.1230024099349976,122.01000213623048,90.8393096923828,255.16287231445312,93.91999816894533,110.63700103759766,100.0
2019-04-01,1.1223849058151243,121.52999877929688,90.21463012695312,258.1888732910156,95.12000274658205,110.99500274658205,102.55999755859376
2019-04-02,1.1205737590789795,121.9800033569336,90.36821746826172,258.3153381347656,94.68000030517578,111.45099639892578,104.08000183105467
2019-04-03,1.1203854084014893,121.8000030517578,90.08665466308594,258.7218017578125,94.0,111.30500030517578,103.91999816894533
2019-04-04,1.1246949434280396,122.11000061035156,90.18052673339844,259.408203125,93.0,111.3949966430664,103.36000061035156
2019-04-05,1.1225864887237549,121.9800033569336,90.22317504882812,260.6638488769531,94.0,111.65799713134766,105.1999969482422
2019-04-08,1.121956706047058,122.51000213623048,90.07811737060548,260.8626708984375,95.4000015258789,111.71099853515624,107.1999969482422
2019-04-09,1.1256444454193115,123.1500015258789,90.24022674560548,259.5257263183594,95.31999969482422,111.45600128173828,106.63999938964844
2019-04-10,1.126697063446045,123.52999877929688,90.45355987548828,260.4109191894531,94.95999908447266,111.1050033569336,107.27999877929688
2019-04-11,1.127650022506714,121.9499969482422,90.24878692626952,260.3387451171875,94.12000274658205,110.98500061035156,106.16000366210938
2019-04-12,1.1260753870010376,121.83000183105467,89.8306655883789,262.1000366210937,93.4000015258789,111.62100219726562,106.4000015258789
2019-04-15,1.1305055618286133,121.5999984741211,89.95010375976562,261.92852783203125,91.1999969482422,112.02799987792967,105.91999816894533
