Date,VT,IEF,STIP,GSG,SGOL
2016-01-04,45.212059020996094,82.90769958496094,72.329345703125,14.119999885559082,10.489999771118164
2016-01-05,45.22004318237305,82.88428497314453,72.3220443725586,13.979999542236328,10.520999908447266
2016-01-06,44.54961395263672,83.38468170166016,72.3220443725586,13.56999969482422,10.66800022125244
2016-01-07,43.51211166381836,83.5644760131836,72.35861206054688,13.4399995803833,10.821999549865724
2016-01-08,43.0013313293457,83.77556610107422,72.42430877685547,13.420000076293944,10.770999908447266
2016-01-11,43.0252799987793,83.50977325439453,72.31474304199219,12.960000038146973,10.68000030517578
2016-01-12,43.26470565795898,83.88501739501953,72.30014038085938,12.93000030517578,10.63599967956543
2016-01-13,42.29900741577149,84.21343231201172,72.36588287353516,12.829999923706056,10.675000190734863
2016-01-14,42.985382080078125,84.04145050048828,72.40242004394531,12.890000343322754,10.503000259399414
2016-01-15,41.78024673461914,84.43230438232422,72.329345703125,12.550000190734863,10.612000465393066
2016-01-19,41.90794372558594,84.3228988647461,72.3366470336914,12.420000076293944,10.604999542236328
2016-01-20,41.237548828125,84.73727416992188,72.3220443725586,12.279999732971191,10.744000434875488
2016-01-21,41.47698211669922,84.52618408203125,72.2781982421875,12.529999732971191,10.746000289916992
2016-01-22,42.514495849609375,84.33855438232422,72.30744171142578,13.020000457763672,10.706000328063965
2016-01-25,41.8520736694336,84.6199951171875,72.35861206054688,12.59000015258789,10.81700038909912
2016-01-26,42.55439376831055,84.68254089355469,72.40971374511719,12.869999885559082,10.947999954223633
2016-01-27,42.17131423950195,84.7451171875,72.50469207763672,13.06999969482422,10.98799991607666
2016-01-28,42.31496810913086,84.85453033447266,72.56314849853516,13.380000114440918,10.871000289916992
2016-01-29,43.28865051269531,85.30802154541016,72.6362075805664,13.479999542236328,10.906999588012695
2016-02-01,43.34452438354492,85.1114730834961,72.53390502929688,13.079999923706056,11.024999618530272
2016-02-02,42.31496810913086,85.71440887451172,72.57775115966797,12.779999732971191,11.02400016784668
2016-02-03,42.69806671142578,85.62044525146484,72.5997085571289,13.260000228881836,11.145000457763672
2016-02-04,42.78585052490234,85.8240737915039,72.62891387939453,13.140000343322754,11.274999618530272
2016-02-05,42.05159759521485,85.93363189697266,72.526611328125,12.989999771118164,11.454999923706056
2016-02-08,41.37320709228516,86.57566833496094,72.43891143798828,12.800000190734863,11.61400032043457
2016-02-09,41.07793426513672,86.59135437011719,72.36588287353516,12.43000030517578,11.588000297546388
2016-02-10,41.10186004638672,86.8497314453125,72.40242004394531,12.329999923706056,11.673999786376951
2016-02-11,40.55119323730469,87.2490463256836,72.42430877685547,12.43000030517578,12.147000312805176
2016-02-12,41.26947021484375,86.58357238769531,72.45356750488281,12.720000267028809,12.07699966430664
2016-02-16,42.02766418457031,86.32510375976562,72.39512634277344,12.630000114440918,11.70699977874756
2016-02-17,42.84968185424805,86.11373901367188,72.39512634277344,12.989999771118164,11.791999816894531
2016-02-18,42.6661376953125,86.51300811767578,72.43165588378906,12.93000030517578,12.0600004196167
2016-02-19,42.61027526855469,86.51300811767578,72.4681625366211,12.8100004196167,11.986000061035156
2016-02-22,43.256717681884766,86.42691040039062,72.49740600585938,13.0600004196167,11.781999588012695
2016-02-23,42.65016174316406,86.59916687011719,72.57775115966797,12.800000190734863,11.949000358581545
2016-02-24,42.68210220336914,86.59916687011719,72.6800765991211,12.979999542236328,11.991000175476074
2016-02-25,43.144996643066406,86.85757446289062,72.76775360107422,13.050000190734863,12.024999618530272
2016-02-26,43.08912658691406,86.43473052978516,72.70931243896484,13.029999732971191,11.944000244140623
2016-02-29,42.80979919433594,86.57566833496094,72.81890869140625,13.199999809265137,12.100000381469728
2016-03-01,43.89519882202149,85.89900207519531,72.78968811035156,13.239999771118164,12.015999794006348
2016-03-02,44.18250274658203,85.75005340576172,72.78968811035156,13.34000015258789,12.156999588012695
2016-03-03,44.54961395263672,85.85197448730469,72.87004089355469,13.350000381469728,12.312999725341797
2016-03-04,44.85292434692383,85.56185913085938,72.82618713378906,13.699999809265137,12.30500030517578
2016-03-07,44.85292434692383,85.38935089111328,72.79698181152344,14.050000190734863,12.357000350952148
